author,year,entry,title,in,publisher,place,pages,notes,Kortform (særlig),TEI-id,MS i arkivet
PD,1941,1941c,[Autoreferat]. Diskussionsindlæg i anledning af Serge Karcevskis meddelelse 22/2-1940: Deux proposition dans une même phrase,"Bulletin du Cercle Linguistique de Copenhague, 1939-40, 6",,,8-9,,,,
PD,1941,1941d,Selvbiografi,Festskrift udgivet af Københavns Universitet i Anledning af Universitetets Aarsfest November 1941,,,142-144,,,,
PD,1941,1941e,"Fremskridt i Sproget. [I anledning af Otto Jespersen: Efficiency in Linguistic Change. København, 1941]","Kristeligt Dagblad, 2/7-1941",,,,,,,
PD,1941,1941f,En nordisk Filolog af stort Format. Marius Kristensen til Minde,"Kristeligt Dagblad, 5/11-1941",,,,,,,
PD,1943,1943a,"Spin – Spindstof, Spot – Spret, Sprinkel – Sprogøre, Spøg – spøtte, Stang – starve, Staude – Stearinlys, Stim – stivøjet","Ordbog over det danske Sprog, XXI",,,,,,,
PD,1943,1943b,Mindeord over Professor Viggo Brøndal,"Selskab for nordisk Filologi, Aarsberetning for 1942",,,3-4,,,,
PD,1943,1943c,"[Anmeldelse] J. Fourquet: L’ordre des éléments de la phrase en germanique ancien, Paris, 1938","Acta Linguistica, 1942-43, 3",,,57-61,,,,
PD,1943,1943d,[Anmeldelse] In memoriam Kr. Sandfeld,"Kristeligt Dagblad, 27/2-1943",,,,,,,
PD,1943,1943e,Viggo Brøndal. 1887-1842,"Gads danske Magasin, 37",,,84-97,,,,
PD,1943,1943f,"[Anmeldelse] Kampen om Sproget. [Om Otto Jespersen: Sproget. Barnet – Kvinden – Slægten, 1941; Vilh. Grønbech: Sprogets Musik, 1943; Viggo Brøndal: Essais de Linguistique générale, 1943]","Gads danske Magasin, 37",,,502-520,,,,
PD,1943,1943g,Jens Høysgaard,"Berlingske Aftenavis, 15/12-1943",,,,Også i 1964b: 11-19,,,
PD,1944,1944a,Dansk Grammatik. I. Ordlære. II. Syntax. [København 1942-44],,,,1-267,,,,
PD,1944,1944b,"Stosbræt – Straavæv, Stræb – strævsom, Stub – studsøret, Stæs – støbsætte, Su – Suffløse, Sus – Suverænitet, Svee – svemme","Ordbog over det danske Sprog, XXII",,,,,,,
PD,1944,1944c,»Nordisk Målstræv«. Påkrævet? Gennemførligt? Lønsomt? ,"Nordisk tidskrift utgivet av Letterstedska Föreningen, XX",,,529-537,,,,
PD,1944,1944d,Perfektparticipium – Supinum – Verbaladjektiv i Dansk og Svensk,"Festskrift till Jöran Sahlgren. Arkiv för nordisk filologi, LVIII",,,263-283,,,,
PD,1944,1944e,"[Anmeldelse] Karl Gustav Ljunggren: Adjektivering av substantiv i svenskan, 1939, og Objekt och adverbial, 1942","Arkiv för nordisk filologi, LIX",,,297-311,,,,
PD,1944,1944f,[Anmeldelse] Fra Fortolkning til Eksistenskritik. [Emil Frederiksen: Fra Saxo Grammaticus til Hjalmar Gullberg. Essays. 1944],"Gads danske Magasin, 38",,,465-475,,,,
PD,1944,1944g,Mindeord over Professor Otto Jespersen,"Selskab for nordisk Filologi, Aarsberetning for 1943",,København,3-4,,,,
PD,1944,1944h,"Wimmer, Ludvig F.A.",Dansk biografisk Leksikon XXVI,,,35-45,,,,
PD,1944,1944i,"Wiwel, H.G.",Dansk biografisk Leksikon XXVI,,,184-188,,,,
PD,1944,1944j,"Arnholtz, Arthur","Dansk biografisk Leksikon, XXVII (supplement)",,,33-34,,,,
PD,1944,1944k,"Hansen, Aage","Dansk biografisk Leksikon, XXVII (supplement)",,,245-246,,,,
PD,1944,1944l,"Moltke, Erik","Dansk biografisk Leksikon, XXVII (supplement)",,,385-386,,,,
PD,1944,1944m,[Kronik] Grammatikkens Sjæl,"Berlingske Aftenavis, 8/2-1944",,,,Også i 1964b: 20-27,,,
PD,1944,1944n,[Kronik] »Nordisk Målstræv«,"Berlingske Aftenavis, 3/1-1944",,,,,,,
PD,1944,1944o,[Kronik] Sprogavl og Sprogværn,Berlingske Aftenavis¸ 9/8-1944,,,,"Også i 1964b: 28-34; og Frisprog, Riksmålsbevegelsens avis, 20/3-1965",,,
PD,1944,1944p,[Kronik] Skal vi tale Nordisk?,"Berlingske Aftenavis, 29/8-1944",,,,,,,
PD,1944,1944q,"[Kronik] Nyt fra dansk Dialektforskning. [I anledning af Anders Bjerrum: Fjoldemålets Lydsystem, 1944]","Berlingske Aftenavis, 22/9-1944",,,,,,,
PD,1944,1944r,[Kronik] Lærkesang over Slagmarker,"Berlingske Aftenavis, 17/11-1944",,,, Også i 1964b: 76-82,,,
PD,1944,1944s,"[Anmeldelse] Det ny Testamente paa moderne Dansk. [Det nye Testamente gengivet af danske Digtere. København, 1944]","Berlingske Tidende, 2/12-1944",,,,,,,
PD,1944,1944t,Biskop Hoffmeyers Oversætterprincipper,"Berlingske Tidende, 12/12-1944",,,,,,,
PD,1945,1945a,"[Udgiver] Thomas Kingo: Samlede Skrifter. (udg.: Hans Brix, F.J. Billeskov Jansen og PD)",,,København,,,,,
PD,1945,1945b,Runer og runeforskning i nordisk belysning. [I anledning af det nye danske runeværk],"Nordisk tidskrift utgivet av Letterstedska Föreningen, XXI",,,319-334,,,,
PD,1945,1945c,[Anmeldelse]. Aage Hansen: Peder Syvs danske Ordsprog,"Nordisk tidskrift utgivet av Letterstedska Föreningen, XXI",,,266,,,,
PD,1945,1945d,Dansk Sætningsanalyse. Dens Formaal og Metode,"Meddelelser fra Dansklærerforeningen, 1, juni 1945",,,1-8,,,,
PD,1945,1945e,"Intelligensen og Samfundet. [I anledning af Hal Koch: De intellektuelles forpligtelse. Gads danske Magasin, 39: s. 73-79 og Theodor Geiger: Intelligensen. De andligt skapandes uppgift och öde i samhället. Stockholm, 1944]","Gads danske Magasin, 39",,,282-297,,,,
PD,1945,1945f,"[Kronik] Reaktionær Æstetik. [I anledning af Strawinsky: Mit Livs Historie, 1943]","Berlingske Aftenavis, 16/1-1945",,,,,,,
PD,1945,1945g,"[Kronik]. Sprogvidenskaben og den almene kultur. [I anledning af Johannes Smith: Verber og Kvinder, 1944]","Berlingske Aftenavis, 12/3-1945",,,,,,,
PD,1945,1945h,"[Kronik]. Norden og Kontinentet. [I anledning af Fritz Askeberg: Norden och kontinenten i gammal tid. Studier i forngermansk kulturhistoria, 1944]","Berlingske Aftenavis, 28/5-1945",,,,,,,
PD,1946,1946a,Elementær dansk Grammatik,,,København,,,,,
PD,1946,1946b,"Syramme – Systue, Tane – Tapventil, Te – Teglværk, Tesalon – Tibold, tie – Tikæmper, Tip – Tiøre","Ordbog over det danske Sprog, XXIII",,,,,,,
PD,1946,1946c,"[Autoreferat] Indledning til Diskussionen om den sprogteoretiske Situation i lingvistisk og erkendelsesteoretisk Belysning. [I anledning af Louis Hjelmslev: Omkring Sprogteoriens Grundlæggelse, 1943]","Selskab for nordisk Filologi, Aarsberetning for 1944-45",,,5-7,,,,
PD,1946,1946d,Poetisk og prosaisk Sætningsbygning i nordisk Middelalderlitteratur,"Selskab for nordisk Filologi, Aarsberetning for 1944-45",,,1-15,,,,
PD,1946,1946e,"Heltesværd og Rævemoral. [I anledning af Carl Roos: Homo Sum. København, 1946]","Gads danske Magasin, 40",,,"629-640, 749-650",,,,
PD,1946,1946f,Antigone,"Bladet København, 13/10-1946",,,,,,,
PD,1947,1947a,[Redaktør] Det første Nordistmøde i København 24.-26. Jan. 1946 (ed.: [sammen med:] Poul Andersen og Johs. Brøndum-Nielsen),,,,1-132,"Også i Acta Philologica Scandinavica, XIX: 1-132. – Heri PD: Maal og Midler i Nutidens nordiske Filologi. Indledning: 62-77. Også i 1966b: 80-93. Afsluttende Bemærkninger: 89-96. Også i 1966b: 93-94. Diskussionsindlæg om: Fælles Retningslinier for Undervisningen i nordisk Filologi ved de nordiske Universiteter: 119",,,
PD,1947,1947b,[Anmeldelse] Chr. Westergaard-Nielsen: Laaneordene i det 16. Aarhundredes trykte islandske Litteratur. Bibliotheca Arnamagnæana VI. København 1946,"Arkiv för nordisk filologi, 62",,,280-286,,,,
PD,1947,1947c,"Godt og daarligt Sprog. Ledetraad ved Folkelig Universitetsundervisning, Nr. 212, udgivet af Folkeuniversitetsudvalget","Meddelelser fra Dansklærerforeningen, 1965, 3",,,129-136,,,,
PD,1947,1947d,Humanistisk Videnskab,"Gads danske Magasin, 41",,,466-481,"Også i 1964b, s. 50-75",,,
PD,1947,1947e,[Kronik]. Med Stort eller lille?,"Berlingske Aftenavis, 7/1-1947",,,,,,,
PD,1948,1948a,"Træl – Træner, Tænd – tænkværdig","Ordbog over det danske Sprog, XXIV",,,,,,,
PD,1948,1948b,Scandinavian Philology,The Humanities and the Sciences in Denmark during the Second World War,,,128-138,,,,
PD,1948,1948c,"[Anmeldelse] Ernst Cassirer: An Essay on Man, An Introduction to a Philosophy of Human Culture, 1944","Theoria. A Swedish Journal of Philosophy and Psychology, 14",,,100-103,,,,
PD,1948,1948d,Fremstillingsøvelser i alle fag,"Gymnasieskolen, 31",,,557-558,,,,
PD,1948,1948e,Europæisk Universitet i Alperne,"Gads danske Magasin, 42 ",,,571-558,,,,
PD,1948,1948f,[Kronik] Middelalderens Love i Nutidsbelysning. [I anledning af Danmarks gamle Love ved Erik Kroman og Stig Iuul. 1945-48],"Berlingske Aftenavis, 5/4-1948",,,,,,,
PD,1948,1948g,[Kronik] Modersmaal og Folkeoplysning,"Berlingske Aftenavis, 30/4-1948",,,,,,,
PD,1948,1948h,[Kronik] Filologerne og Modersmaalet,"Berlingske Aftenavis, 30/9-1948",,,,,,,
PD,1949,1949a,Morpheme Categories in Modern Danish,"Recherches structurales (Travaux du Cercle Linguistique de Copenhague, 5)",,,134-135,Også i 1966b: 148-168,,,TCLC_5_2_4-tei.xml
PD,1949,1949b,Réponse à question III. «Peut-on poser une définition universellement valable des domains respectifs de la morphologie et de la syntaxe?»,Actes du sixième congrès international des linguistes (Paris),,,276-279,,,,
PD,1949,1949c,[Resumé på fransk] Realitet som grammatisk Kategori,Actes du sixième congrès international des linguistes (Paris),,,131-132,,,,
PD,1949,1949d,"Danish Pronunciation. [Key to Grammophone Record, written for the American Graduate School in Denmark",,,,1-19,,,,
PD,1949,1949e,"Liv og Tanke [I anledning af F.J. Billeskov Jansen: Inderlighed og Klarhed. Tolv Essays, 1948]","Gads danske Magasin, 43",,,21-32,,,,
PD,1949,1949f,Vestlig videnskab bag jerntæppet,"Gads danske Magasin, 43",,,96-101,,,,
PD,1949,1949g,"Nutidsdansk. [I anledning af Kaj Bom: Slang – argot – jargon, 1948, og Erling Rehling: Skriftlig Form, 1948]","Gads danske Magasin, 43",,,233-244,,,,
PD,1949,1949h,Nye perspektiver i sprogvidenskaben (og diskussionsindlæg),"Gads danske Magasin, 43 ",,,"367-374, 375-383",,,,
PD,1949,1949i,"[Uddrag af trolletale, 14/1-1949]","Herlovianeren. Medlemsblad for Herlovianer-Samfundet, 27",,,1-3,,,,
PD,1949,1949j,[Kronik] Nekrolog over et tidsskrift,"Berlingske Aftenavis, 18/2-1949",,,,Også i 1964b: 83-91,,,
PD,1949,1949k,[Kronik] Studium og Undervisning,"Berlingske Aftenavis, 1/4-1949",,,,,,,
PD,1949,1949l,[Kronik] Sprog og algebra,"Berlingske Aftenavis, 1/10-1949",,,,,,,
PD,1950,1950a,Essentials of Danish Grammar. [Written for the American Graduate School in Denmark],,,,1-32,,,,
PD,1950,1950b,"Grammatik, komma og genfortælling","GKL. Medlemsblad for Gentofte Kommunlærerforening, 14",,,96-97,,,,
PD,1950,1950c,Forslag til honorering af professorers videnskabelige sekretærhjælp,"Videnskabsmanden, 4",,,31-32,,,,
PD,1951,1951,"Carlsberg-fondets jubilæum [sammen med Niels Arley, Johannes Brøndsted, Torben Lund og Magnus Degerbøl]","Videnskabsmanden, 5",,,52,,,,
PD,1952,1952a,Valhal – Valmuld,"Ordbog over det danske Sprog, XXVI",,,,,,,
PD,1952,1952b,De tre hovedarter af grammatisk forbindelse. Bidrag til en analyse af lingvistikkens metasprog,Festskrift til L.L. Hammerich på tresårsdagen den 31. juli 1952,,,89-104,Også i 1966b: 193-209,,,
PD,1952,1952c,Nordisk Sommer Universitet,Nordisk Sommer Universitet 1951. Årsagsproblemet. (Moderne Videnskab. Orientering og Debat I),,,7-9,,,,
PD,1952,1952d,Strukturelle og historiske synspunkter inden for sprogvidenskaben,Nordisk Sommer Universitet 1951. Årsagsproblemet. (Moderne Videnskab. Orientering og Debat I),,,188-195,,,,
PD,1952,1952e,Sprogvidenskab,Nordisk Sommer Universitet 1951. Årsagsproblemet. (Moderne Videnskab. Orientering og Debat I),,,260-262,,,,
PD,1952,1952f,M. Hammerich et ses méthodes [I anledning af L.L. Hammerich: Les glossématistes danois et leurs méthodes. Acta Philologica Scandinavica],"Acta Philologica Scandinavica, 21",,,87-97,,,,
PD,1952,1952g,Dernière réponse à M. Hammerich,"Acta Philologica Scandinavica, 21",,,102-104,,,,
PD,1952,1952h,Sprog og Livssyn [sammen med: H.V. Brøndsted og Povl Bagge],Videnskab og Livssyn (Mennesket i Tiden VIII),,,9-38,,,,
PD,1953,1953a,"Danish Pronunciation. [Key to Grammophone Record, written for the Danish Graduate School for Foreign Students]",,,,,,,,
PD,1953,1953b,Bidrag til en analyse af det danske skriftsprogs struktur,Selskab for Nordisk Filologi. Årsberetning for 1951-52,,,6-22,"Også i 1966b, 11: 169-188",,,
PD,1953,1953c,Svar på Anders Wedbergs Kritiska reflexioner över några grundbegrepp i den Hjelmslevska »glossematiken« (rekonstrueret og uddybet på væsentlige punkter),"Semantiske problemer. Innledningsforedrag og diskusjonsreferater fra Krets 5, Nordisk Sommeruniversitet, 2. sesjon, Ustaoset 1952",,Oslo,46-53,,,,
PD,1953,1953d,[Referat]. Diskussionsindlæg om Isomorfin mellan språkligt uttryck och innehåll. Nordisk Sommer Universitet 1952,Menneske og miljø (Moderne videnskab. Orientering og debat II),,,176-177,,,,
PD,1953,1953e,Bedømmelse af den nordisk-filologiske prisafhandling for 1952 [sammen med: Poul Andersen]: »Ordaccent (herunder stød) i en dansk dialekt«, Festskrift udgivet af Københavns Universitet i anledning af universitetets årsfest november 1953,,,227-230,,,,
PD,1953,1953f,Betænkning om videnskabelig rekrutering i Danmark [sammen med: Niels Arley],"Videnskabsmanden, 7",,, 6-8,,,,
PD,1953,1953g,F.B.V.A.s betænkning om videnskabelig rekrutering [sammen med: Niels Arley],"Videnskabsmanden, 7",,,38-40,,,,
PD,1953,1953h,[Kronik]. Retskrivnings-kineseri og karakterreguladetri,"Politiken, 10/6-1953",,,,,,,
PD,1954,1954a,[Indlæg i indledende diskussion om] Vetenskapens funktion i samhället. Nordisk Sommer Universitet 1953,Vetenskapens funktion i samhället. (Moderne videnskab. Orientering og debat III),,,31-35,,,,
PD,1954,1954b,Semantiske problemer i logik og lingvistik,Vetenskapens funktion i samhället. (Moderne videnskab. Orientering og debat III),,,248-278,Også i 1966b: 215-244,,,
PD,1954,1954c,Diskussionsindlæg i anledning af Kaj Boms foredrag 24/9-1953 om planerne for en ordbog over det ældste danske sprog. Referat ved selskabets sekretær,Selskab for nordisk Filologi. Årsberetning for 1953,,,7-9,,,,
PD,1954,1954d,Erkendelse og afgørelse. Om ordet »ansvar« i forkyndende sprog. [I anledning af K. Olesen Larsen: Videnskaben og mennesket. København 1954],"Perspektiv, 1(8)",,,18-25,,,,
PD,1954,1954e,Accessionskatalog på en ny måde,"Videnskabsmanden, 8",,,11-12,,,,
PD,1954,1954f,Nordiske symposier,"Videnskabsmanden, 8",,,22,,,,
PD,1954,1954g,"[Kronik] Sproghistorien og det evigt danske. [Anmeldelse af Peter Skautrup: Det danske Sprogs Historie, III. København 1953]","Berlingske Aftenavis, 16/1-1954",,,,,,,
PD,1955,1955,Synspunkter på sproglig opdragelse. Historisk baggrund og aktuelle spørgsmål,"Dansk pædagogisk Tidsskrift, 3",,," 74-90, 124-37, 77-85, 263-80",,,,
PD,1956,1956a,Filologisk redegørelse for de vigtigste tryk og håndskrifter,Hans Adolph Brorson: Samlede skrifter I-III. Ved L.J. Koch,Det Danske Sprog- og Litteraturselskab,,423-480,,,,
PD,1956,1956b,,"1956b. Flensborg stadsret. Nogle teksthistoriske bidrag. Festskrift til Peter Skautrup 21. januar 1956, Aarhus, s. 87-112.",,,,,,,
PD,1956,1956c,Diskussionsindlæg 17/2-1955 om Anders Bjerrum: Grammatik over Skånske Lov (B 74). Referat ved selskabets sekretær,Selskab for nordisk Filologi. Årsberetning for 1954-55,,,17,,,,
PD,1956,1956d,Diskussionsindlæg i anledning af Jørgen Gladhers foredrag 22/9-1955: Den danske Ordbog og dens videreførelse. Referat ved selskabets sekretær,Selskab for nordisk Filologi. Årsberetning for 1954-55,,,22,,,,
PD,1956,1956e,[Indskrift på mindetavle for Christiern Pedersen],"Helsinge, 1956",,,,,,,
PD,1957,1957a,"Elementær dansk Grammatik, 2. udg., delvis omarbejdet",,,,"I-XV, 1-298",Se 1944a og 1946a,,,
PD,1957,1957b,The Importance of Distribution versus Other Criteria in Linguistic Analysis. Reports for the 8th International Congress of Linguists Oslo 5-9 August 1957 vol. I: s. 23-49. (Oslo),Proceedings of the VIII International Congress of Linguists,,,156-182,Også i 1966b: 253-75. I ’Proceedings’ tillige indledende bemærkninger til diskussionen: 194-196,,,
PD,1957,1957c,Udtalen af dansk rigssprog,Danske Studier,Universitets-jubilæets danske Samfund,København.,41-79,,,,
PD,1958,1958a,Sprog og Livssyn,Livsanskuelsernes Brydning i vor Tid. Fem foredrag,,,76-103,,,,
PD,1958,1958b,Hans Jørgen Uldall (’24) 25-5-1907 – 29-10-1957," Herlovianeren. Medlemsblad for Herlovianer-Samfundet, 36",,,"14, 22",,,,
PD,1959,1959,Udvikling og struktur i sprogvidenskaben,Nordisk Sommer Universitet 1958. Udviklingsproblemer. (Moderne videnskab. Orientering og debat VII),,,35-56,Også i 1966b: 276-300,,,
PD,1960,1960a,Rasmus Rask og den grammatiske tradition: Studier over vendepunktet i sprogvidenskabens historie. Med tillæg fra Rasks og N.M. Petersens papirer. Mit einer deutschen Zusammenfassung,"Kongelige Danske Videnskabernes Selskab. Historisk-Filologiske Meddelelser, 38(2)",,København,1-251,,,,
PD,1960,1960b,Uddannelsen af gymnasieskolelærere under de nye studieordninger. De humanistiske fag. Foredrag på Gymnasieskolernes Lærerforenings møde den 18. oktober 1960.,"Gymnasieskolen, 43",,,787-793,,,,
PD,1960,1960c,Forord,"A. Noesgaard: Hyppighedsundersøgelser over ordforrådet i dansk, bd. 3; Tre generationer af danske prosaister (1878-1958)",,,5-11,,,,
PD,1960,1960d,Sover universitetet det halve år?,"Politiken, 26/12-1960",,,,,,,
PD,1961,1961a,5. Stedord. 7. Led tilknyttet med eller uden forbinder. 8. Dobbelt tilknytning af sætningsled,Dansk grammatisk terminologi. Undervisningsvejledning for folkeskolen II. Betænkning afgivet af det af Undervisningsministeriet under 1. september 1958 nedsatte læseplansudvalg. Betænkning nr. 297,,,58-84,,,,
PD,1961,1961b,Studenterliv i latinerkvarteret,"Aktuelt, 10/9-1961",,,,Også i 1964b: 92-99,,,
PD,1962,1962a,"Elementær dansk Grammatik, 3. udg., gennemset og rettet",,,,"I-XV, 1-305","Se 1944a, 1946a og 1957a",,,
PD,1962,1962b,Juridisk stil og sprogbrug [sammen med: W.E. v. Eyben og Peter Skautrup],Juridisk Grundbog,,,480-517,,,,
PD,1962,1962c,Kaos i grammatikken? Bidrag til en forståelse af aktuelle analyseproblemer,Meddelelser fra Dansklærerforeningen 1962,,,179-203,,,,
PD,1962,1962d,Modersmål og grammatik. Den aktuelle situation set i historisk perspektiv,Modersmålslärarnas Förening. Årsskrift 1962,,,47-62,"Også i Meddelelser fra Dansklærerforeningen 1965, 3: 150-166",,,
PD,1962,1962e,Introduktion til studier ved det filosofiske fakultet [sammen med: K. Hald og A. Bjerrum],"Studiehåndbog for Det filosofiske fakultet ved Københavns Universitet, I",,,25-48,,,,
PD,1962,1962f,Videnskab og fædreland. »Sit fædreland skylder man alt«. [I anledning af læserbrev til Politiken dateret 5/7-1962,"Politiken, 8/7-1962",,,,,,,
PD,1963,1963a,Baggrunden: Den klassiske tradition,"Dansk prosahistorie, I",,,1-47,,,,
PD,1963,1963b, Bemærkninger til nogle nye hypoteser om overleveringen af Brorsons salmer,Danske Studier 1963,,,5-25,,,,
PD,1963,1963c,Grammatik og volapyk,Meddelelser fra Dansklærerforeningen 1963,,, 22-40,,,,
PD,1963,1963d,Forelæggelse af Rasmus Rask og den grammatiske tradition,Selskab for nordisk Filologi. Årsberetning for 1961-62,,,5-7,,,,
PD,1964,1964a,Essentials of Danish Grammar [+ en grammofonplade indtalt af Paul Diderichsen],,,,1-78,,,,
PD,1964,1964b,Sproget – Virkeligheden – Fantasien,Sproget – Virkeligheden – Fantasien. Gyldendals Julebog 1964 (red.: Børge Diderichsen),,København,,,,,
PD,1964,1964c,Sætningsleddene og deres stilling tredive år efter,"Sprog og Kulturs Skriftrække, 1",,,105-119,Også i 1966b: 364-379.,,,
PD,1964,1964d,Dansk prosahistorie II. Lovsprog og kancellisprog,Oversigter og tekstprøver,,,48-77,,,,
PD,1964,1964e,Bedømmelse af den sammenlignende sprogvidenskabelige prisafhandling for 1963 (om komparationskategorien) [sammen med: Louis Hjelmslev og Hans Chr. Sørensen],Festskrift udgivet af Københavns Universitet i anledning af universitetets årsfest november 1964,,,187-95,,,,
PD,1964,1964f,"[Kronik] Sprogbygning og sprogslægtskab. [I anledning af Louis Hjelmslev: Sproget, 1963]","Berlingske Aftenavis, 6/1-1964",,,,,,,
PD,1964,1964g,Ønsker studenterne dårligere undervisning? ,"Studenterbladet, januar 1964",,,,,,,
PD,1965,1965a,Synspunkter for dansk sproglære i det 20. århundrede,Det danske sprogs udforskning i det 20. århundrede,Selskab for nordisk Filologi,,142-211,,,,
PD,1965,1965b,Sproglig opdragelse [Diskussionsindledning i Pædagogisk Selskab 4/12-1953],"Meddelelser fra Dansklærerforeningen, 3",,,136-150,,,,
