abk	Abkhasisk
tel	Telugu
tem	Temne
ter	Tereno
tet	Tetum
tgk	Tajik
tgl	Tagalog
tha	Thai
tib	Tibetansk
tig	Tigré
tir	Tigrinja
tiv	Tivi
tkl	Tokelau
tli	Tlingit
tmh	Tamashek
tog	Tonga
ton	Tonga
tpi	Tok pisin
tsi	Tsimshisk
tsn	Tswana
tso	Tsonga
tuk	Turkmensk
tum	Tumbuka
tur	Tyrkisk
tut	Tyrkisk-tatariske sprog
tvl	Tuvalu
twi	Twi
tyv	Tuvinian
uga	Ugaritisk
uig	Uigurisk
ukr	Ukrainsk
umb	Umbundu
urd	Urdu
uzb	Usbekisk
vai	Vai
ven	Venda
vie	Vietnamesisk
vol	Volapük
vot	Votisk
wak	Wakashan
wal	Walamo
war	Waray
was	Washo
wel	Walisisk
wen	Vendiske sprog
wol	Wolof
xho	Xhosa
yao	Yao
yap	Yap
yid	Jiddisch
yor	Yoruba
ypk	Yupik
zap	Zapotec
zen	Zenega
zha	Zhuang
znd	Zande
zul	Zulu
zun	Zuni
aar	Afar
111	Abazinsk
112	Adygisk
113	Agul
114	Akhvakh
115	Andi
116	Andi-sprogene
117	Artjinsk
118	Avarisk
119	Avaro-andi-dido-sprogene 
120	Bagulal
121	Bats
122	Bezhta
123	Botlikh
124	Budukh
125	Dagestanske sprog
127	Darginsk
128	Dargwa
129	Dido
130	Dido-sprogene
131	Godoberi
132	Grusis
133	Hinukh
134	Hunzib
135	Ingusjisk
136	Kabardinsk
137	Kaputji
138	Karata
139	Kartvelske sprog
140	Khinalug
141	Khjurkili
142	Khvarsji
143	Kolchidiske 
144	Kryts
145	Kuri
146	Lak
147	Lak - dargwa - sprogene
148	Laz
149	Lezgisk
150	Lezgiske sprog
151	Mingrelsk
152	Nakhsprog
153	Nordvestkaukasiske sprog
154	Nordøstkaukasisk
155	Nordøstkaukasiske sprog
156	Rutul
157	Svan
158	Tabasaran 
159	Tapanta
160	Tindi
161	Tjamalal
162	Tjan
163	Tjerkessisk
164	Tsakhur
165	Tsez
166	Tsova-tush
167	Ubykhisk
168	Udisk
169	Vesttjerkessisk
170	Zan
171	Østtjerkessisk
172	Ikke-indoeuropæiske sprog
173	Oldnordisk
174	ældre litauisk
175	archaisk
176	assyrisk
177	etruskisk
178	fælleslitauisk
179	gammelassyrisk
180	græsk-latin
181	ikke-germanske sprog
182	klassiske sprog
183	landsmål
184	oldkirkeslavisk
185	oldnorsk
186	oldslavisk
187	oskisk-umbrisk
188	østlitauisk
189	østzemaitisk
190	riksmål
191	samojedisk
192	serbo-kroatisk
193	tokharisk
194	uralske sprog
195	vestzemaitisk
196	vulgærlatin
197	zemaitisk
198	italisk
199	calabresisk – albansk
200	indisk
201	nyindisk
202	vedisk
203	attisk
204	kassitisk
205	nssqi
206	oskisk
207	umbrisk
208	østersøfinske
209	vogulsk
210	ostjakkisk
211	syrjænsk
212	tsjeremissisk
213	mordvinsk
214	lappisk
215	eskimoisk
216	miwok
217	achumawi
218	burushaski
219	maidu
220	byzantisk
221	Tabassaransk
222	Altasisk
223	Near Eastern languages
224	Pomo
225	Cantonese
226	Yuki
227	Kamtlaroy
228	kyrkansk
229	labarsaransk
230	lakkisk
231	aranda
232	Kalispel
233	ubychisk
234	Austrian
235	aranta
236	amerikansk
237	Paleosiberian
238	Gilyak
239	nordisk
340	tjuktjisk
341	oldeng
341	oldengelsk
342	jysk
343	Lilleasiatisk
344	Kamilaroi
345	rigsmål
